current_pos,player_first_last,current_score,current_points,R1,R2,R3,R4,TOT,EARNINGS,FEDEX PTS,tourney_num,event_name
CUT,Taylor Pendrith,CUT,0,67,68,71,--,206,--,0,2,The American Express
CUT,Bud Cauley,CUT,0,67,66,73,--,206,--,0,2,The American Express
CUT,Andrew Novak,CUT,0,64,68,74,--,206,--,0,2,The American Express
CUT,Adam Svensson,CUT,0,74,70,63,--,207,--,0,2,The American Express
CUT,Kevin Roy,CUT,0,72,68,67,--,207,--,0,2,The American Express
CUT,Michael Kim,CUT,0,71,68,68,--,207,--,0,2,The American Express
CUT,Harry Higgs,CUT,0,66,73,68,--,207,--,0,2,The American Express
CUT,Chris Kirk,CUT,0,69,69,69,--,207,--,0,2,The American Express
CUT,Hank Lebioda,CUT,0,68,70,69,--,207,--,0,2,The American Express
CUT,Kevin Streelman,CUT,0,67,71,69,--,207,--,0,2,The American Express
CUT,Stephan Jaeger,CUT,0,71,66,70,--,207,--,0,2,The American Express
CUT,Tony Finau,CUT,0,68,68,71,--,207,--,0,2,The American Express
CUT,Jason Dufner,CUT,0,69,65,73,--,207,--,0,2,The American Express
CUT,Jesper Svensson,CUT,0,72,70,66,--,208,--,0,2,The American Express
CUT,Lee Hodges,CUT,0,70,71,67,--,208,--,0,2,The American Express
CUT,Steven Fisk,CUT,0,68,72,68,--,208,--,0,2,The American Express
CUT,Emilio Gonzalez,CUT,0,68,72,68,--,208,--,0,2,The American Express
CUT,Lanto Griffin,CUT,0,71,66,71,--,208,--,0,2,The American Express
CUT,Peter Malnati,CUT,0,66,70,72,--,208,--,0,2,The American Express
CUT,Matt Wallace,CUT,0,66,70,72,--,208,--,0,2,The American Express
CUT,Beau Hossler,CUT,0,65,71,72,--,208,--,0,2,The American Express
CUT,Justin Rose,CUT,0,72,63,73,--,208,--,0,2,The American Express
CUT,Erik van Rooyen,CUT,0,67,67,74,--,208,--,0,2,The American Express
CUT,Emiliano Grillo,CUT,0,67,76,66,--,209,--,0,2,The American Express
CUT,Danny Walker,CUT,0,72,69,68,--,209,--,0,2,The American Express
